_id,participant_id,image_id,image_order,judgment,correct_answer,is_correct,confidence,reasoning,response_time_ms,submitted_at,__v,response_time_s
69889c15ced95ea3e7016578,9ceec48a-5c7d-438b-a50a-346fde142298,ai_03,1,AI,AI,True,4,weird blur,94528,Sun Feb 08 2026 14:22:13 GMT+0000 (Coordinated Universal Time),0,94.528
69889c23ced95ea3e701657c,9ceec48a-5c7d-438b-a50a-346fde142298,ai_01,2,Real,AI,False,1,,13933,Sun Feb 08 2026 14:22:27 GMT+0000 (Coordinated Universal Time),0,13.933
69889c38ced95ea3e701657e,9ceec48a-5c7d-438b-a50a-346fde142298,ai_04,3,AI,AI,True,5,,21105,Sun Feb 08 2026 14:22:48 GMT+0000 (Coordinated Universal Time),0,21.105
69889c48ced95ea3e7016580,9ceec48a-5c7d-438b-a50a-346fde142298,ai_02,4,AI,AI,True,2,,15282,Sun Feb 08 2026 14:23:04 GMT+0000 (Coordinated Universal Time),0,15.282
698acecec832dc7bb6969e35,7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,real_10,1,AI,Real,False,3,,89521,Tue Feb 10 2026 06:23:10 GMT+0000 (Coordinated Universal Time),0,89.521
698acef2c832dc7bb6969e39,7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,ai_05,2,AI,AI,True,2,,36306,Tue Feb 10 2026 06:23:46 GMT+0000 (Coordinated Universal Time),0,36.306
698acef8c832dc7bb6969e3b,7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,real_17,3,AI,Real,False,4,,5337,Tue Feb 10 2026 06:23:52 GMT+0000 (Coordinated Universal Time),0,5.337
698acefcc832dc7bb6969e3d,7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,ai_03,4,Real,AI,False,1,,3184,Tue Feb 10 2026 06:23:56 GMT+0000 (Coordinated Universal Time),0,3.184
698acf05c832dc7bb6969e3f,7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,ai_01,5,AI,AI,True,5,,9477,Tue Feb 10 2026 06:24:05 GMT+0000 (Coordinated Universal Time),0,9.477
698acf0fc832dc7bb6969e41,7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,ai_07,6,AI,AI,True,2,,8609,Tue Feb 10 2026 06:24:15 GMT+0000 (Coordinated Universal Time),0,8.609
698acf12c832dc7bb6969e43,7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,real_19,7,AI,Real,False,3,,3355,Tue Feb 10 2026 06:24:18 GMT+0000 (Coordinated Universal Time),0,3.355
698acf16c832dc7bb6969e45,7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,ai_10,8,AI,AI,True,4,,3596,Tue Feb 10 2026 06:24:22 GMT+0000 (Coordinated Universal Time),0,3.596
698acf1ac832dc7bb6969e47,7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,real_02,9,Real,Real,True,5,,3575,Tue Feb 10 2026 06:24:26 GMT+0000 (Coordinated Universal Time),0,3.575
698acf1ec832dc7bb6969e49,7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,ai_02,10,Real,AI,False,3,,3577,Tue Feb 10 2026 06:24:30 GMT+0000 (Coordinated Universal Time),0,3.577
